"filename", "language", "CSS", "JavaScript", "HTML", "PHP", "JSON", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Admin\admin.css", "CSS", 162, 0, 0, 0, 0, 0, 12, 26, 200
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Admin\admin.js", "JavaScript", 0, 78, 0, 0, 0, 0, 17, 17, 112
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Admin\admin.php", "PHP", 0, 0, 0, 83, 0, 0, 1, 11, 95
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Cliente\Cdashboard.html", "HTML", 0, 0, 40, 0, 0, 0, 2, 5, 47
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Cliente\cliente.css", "CSS", 50, 0, 0, 0, 0, 0, 6, 7, 63
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Dashboards\Cliente\cliente.php", "PHP", 0, 0, 0, 27, 0, 0, 1, 5, 33
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\animationsV.js", "JavaScript", 0, 77, 0, 0, 0, 0, 38, 30, 145
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landing.css", "CSS", 616, 0, 0, 0, 0, 0, 17, 111, 744
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landingV.html", "HTML", 0, 0, 288, 0, 0, 0, 8, 25, 321
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Landing\landingV.js", "JavaScript", 0, 39, 0, 0, 0, 0, 8, 17, 64
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Suscripcion\suscripcion.css", "CSS", 213, 0, 0, 0, 0, 0, 13, 46, 272
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Suscripcion\suscripcionV.html", "HTML", 0, 0, 98, 0, 0, 0, 7, 12, 117
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Suscripcion\suscripcionV.js", "JavaScript", 0, 64, 0, 0, 0, 0, 9, 15, 88
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\actividadesV.html", "HTML", 0, 0, 42, 0, 0, 0, 2, 7, 51
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\carritoV.html", "HTML", 0, 0, 42, 0, 0, 0, 2, 5, 49
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\entrenadoresV.html", "HTML", 0, 0, 42, 0, 0, 0, 2, 5, 49
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\Login\loginM.php", "PHP", 0, 0, 0, 31, 0, 0, 3, 7, 41
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\Registro\registroC.js", "JavaScript", 0, 57, 0, 0, 0, 0, 8, 8, 73
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\Registro\registroM.php", "PHP", 0, 0, 0, 31, 0, 0, 3, 7, 41
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\formulario.css", "CSS", 174, 0, 0, 0, 0, 0, 12, 29, 215
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\formularioV.html", "HTML", 0, 0, 56, 0, 0, 0, 4, 8, 68
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\formularioV.js", "JavaScript", 0, 52, 0, 0, 0, 0, 2, 21, 75
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\logout.php", "PHP", 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\red.js", "JavaScript", 0, 59, 0, 0, 0, 0, 2, 10, 71
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\redireccion.js", "JavaScript", 0, 54, 0, 0, 0, 0, 2, 9, 65
"c:\xampp\htdocs\Raccoon_TODOECHO\Users\registro.css", "CSS", 174, 0, 0, 0, 0, 0, 12, 29, 215
"c:\xampp\htdocs\Raccoon_TODOECHO\assets\img\BITnessGYM_map.svg", "XML", 0, 0, 0, 0, 0, 155, 1, 2, 158
"c:\xampp\htdocs\Raccoon_TODOECHO\assets\img\BITnessGYM_map_hover.svg", "XML", 0, 0, 0, 0, 0, 155, 1, 2, 158
"c:\xampp\htdocs\Raccoon_TODOECHO\config\conexion.php", "PHP", 0, 0, 0, 13, 0, 0, 1, 2, 16
"c:\xampp\htdocs\Raccoon_TODOECHO\config\global.css", "CSS", 18, 0, 0, 0, 0, 0, 2, 2, 22
"c:\xampp\htdocs\Raccoon_TODOECHO\config\jquery-3.7.1.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 1, 3
"c:\xampp\htdocs\Raccoon_TODOECHO\package-lock.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\xampp\htdocs\Raccoon_TODOECHO\package.json", "JSON", 0, 0, 0, 0, 5, 0, 0, 1, 6
"Total", "-", 1407, 481, 608, 192, 23, 310, 199, 483, 3703
