Date : 2024-10-13 15:53:45
Directory : c:\xampp\htdocs\Raccoon_TODOECHO
Total : 62 files,  2793 codes, 198 comments, 449 blanks, all 3440 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| PHP        |         18 |      1,270 |         94 |        180 |      1,544 |
| JavaScript |         16 |        955 |         92 |        139 |      1,186 |
| CSS        |         13 |        292 |         -3 |         51 |        340 |
| HTML       |         13 |        193 |         15 |         77 |        285 |
| JSON       |          2 |         83 |          0 |          2 |         85 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |         62 |      2,793 |        198 |        449 |      3,440 |
| . (Files)                                                                                |          2 |         83 |          0 |          2 |         85 |
| Dashboards                                                                               |         25 |      2,608 |        217 |        407 |      3,232 |
| Dashboards\Admin                                                                         |         14 |      1,943 |         63 |        235 |      2,241 |
| Dashboards\Admin (Files)                                                                 |          1 |         93 |          0 |          4 |         97 |
| Dashboards\Admin\CRUD                                                                    |         13 |      1,850 |         63 |        231 |      2,144 |
| Dashboards\Admin\CRUD\Controladores                                                      |          4 |        536 |         32 |         57 |        625 |
| Dashboards\Admin\CRUD\Estilos                                                            |          1 |        102 |          2 |         23 |        127 |
| Dashboards\Admin\CRUD\Modelos                                                            |          4 |        305 |         25 |         53 |        383 |
| Dashboards\Admin\CRUD\Vistas                                                             |          4 |        907 |          4 |         98 |      1,009 |
| Dashboards\Cliente                                                                       |          9 |        588 |        147 |        160 |        895 |
| Dashboards\Cliente (Files)                                                               |          3 |        114 |          9 |         17 |        140 |
| Dashboards\Cliente\Suscripcion                                                           |          6 |        474 |        138 |        143 |        755 |
| Dashboards\Entrenador                                                                    |          2 |         77 |          7 |         12 |         96 |
| Pages                                                                                    |         24 |        195 |        -31 |         41 |        205 |
| Pages (Files)                                                                            |          3 |       -126 |         -6 |        -17 |       -149 |
| Pages\Actividades                                                                        |          3 |      1,107 |         37 |        166 |      1,310 |
| Pages\Dashboards                                                                         |          6 |       -440 |        -39 |        -71 |       -550 |
| Pages\Dashboards\Admin                                                                   |          3 |       -323 |        -30 |        -54 |       -407 |
| Pages\Dashboards\Cliente                                                                 |          3 |       -117 |         -9 |        -17 |       -143 |
| Pages\Entrenadores                                                                       |          1 |         35 |          5 |         11 |         51 |
| Pages\Landing                                                                            |          4 |       -192 |        -16 |        -36 |       -244 |
| Pages\Navbar                                                                             |          3 |        151 |         12 |         52 |        215 |
| Pages\Productos                                                                          |          1 |         35 |          5 |          9 |         49 |
| Pages\Suscripcion                                                                        |          3 |       -375 |        -29 |        -73 |       -477 |
| Users                                                                                    |         10 |       -121 |          7 |         -8 |       -122 |
| Users (Files)                                                                            |          6 |       -160 |        -11 |        -28 |       -199 |
| Users\Login                                                                              |          1 |          0 |          7 |          2 |          9 |
| Users\Registro                                                                           |          2 |         32 |         11 |         18 |         61 |
| Users\Sesiones                                                                           |          1 |          7 |          0 |          0 |          7 |
| config                                                                                   |          1 |         28 |          5 |          7 |         40 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                 | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Controladores\crud_producto.js    | JavaScript |        143 |         11 |         15 |        169 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Controladores\crud_sucursal.js    | JavaScript |        155 |          6 |         18 |        179 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Controladores\crud_suscripcion.js | JavaScript |         80 |          8 |         11 |         99 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Controladores\crud_usuario.js     | JavaScript |        158 |          7 |         13 |        178 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Estilos\admin1.css                | CSS        |        102 |          2 |         23 |        127 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Modelos\crud_producto.php         | PHP        |         74 |          4 |         13 |         91 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Modelos\crud_sucursal.php         | PHP        |         93 |         10 |         17 |        120 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Modelos\crud_suscripcion.php      | PHP        |         47 |          4 |          9 |         60 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Modelos\crud_usuario.php          | PHP        |         91 |          7 |         14 |        112 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Vistas\gestion_productos.php      | PHP        |        234 |          1 |         24 |        259 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Vistas\gestion_sucursales.php     | PHP        |        240 |          1 |         23 |        264 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Vistas\gestion_suscripciones.php  | PHP        |        181 |          1 |         23 |        205 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Vistas\gestion_usuarios.php       | PHP        |        252 |          1 |         28 |        281 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\admin.php                              | PHP        |         93 |          0 |          4 |         97 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Cdashboard.html                      | HTML       |         37 |          2 |          5 |         44 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\redireccionS.js          | JavaScript |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\suscripcion.css          | CSS        |        225 |         20 |         52 |        297 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\suscripcionC.js          | JavaScript |         47 |         18 |         12 |         77 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\suscripcionM.php         | PHP        |         21 |         49 |         25 |         95 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\suscripcionV.html        | HTML       |        103 |         12 |         26 |        141 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\suscripcionV.js          | JavaScript |         78 |         39 |         27 |        144 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\cliente.css                          | CSS        |         50 |          6 |          7 |         63 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\cliente.php                          | PHP        |         27 |          1 |          5 |         33 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Entrenador\entrenador.css                    | CSS        |         50 |          6 |          7 |         63 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Entrenador\entrenador.php                    | PHP        |         27 |          1 |          5 |         33 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Actividades\actividades.css                       | CSS        |        433 |          5 |         51 |        489 |
| c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Actividades\actividadesV.html                     | HTML       |        230 |          4 |         39 |        273 |
