"filename", "language", "JavaScript", "CSS", "PHP", "HTML", "JSON", "Markdown", "YAML", "XML", "Makefile", "comment", "blank", "total"
"c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Controladores\crud_suscripcion.js", "JavaScript", -58, 0, 0, 0, 0, 0, 0, 0, 0, 98, 5, 45
"c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Modelos\crud_paga.php", "PHP", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Modelos\crud_suscripcion.php", "PHP", 0, 0, 2, 0, 0, 0, 0, 0, 0, 57, 6, 65
"c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Vistas\admin.php", "PHP", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 4, 97
"c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Vistas\gestion_suscripciones.html", "HTML", 0, 0, 0, 287, 0, 0, 0, 0, 0, 5, 51, 343
"c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\CRUD\Vistas\gestion_suscripciones.php", "PHP", 0, 0, -181, 0, 0, 0, 0, 0, 0, -1, -23, -205
"c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Admin\admin.php", "PHP", 0, 0, -93, 0, 0, 0, 0, 0, 0, 0, -4, -97
"c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\redireccionS.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\redireccion_s.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\suscripcion.css", "CSS", 0, -5, 0, 0, 0, 0, 0, 0, 0, -10, -1, -16
"c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\suscripcionC.js", "JavaScript", -18, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 43
"c:\xampp\htdocs\Raccoon_TODOECHO\Dashboards\Cliente\Suscripcion\suscripcionV.html", "HTML", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 8, 31
"c:\xampp\htdocs\Raccoon_TODOECHO\Pages\Actividades\actividades.css", "CSS", 0, -254, 0, 0, 0, 0, 0, 0, 0, 0, -13, -267
